Timestamp,Sender Redacted,Recipients Redacted,Filters,SMS Message Type,Preview
XX/XX/2015  10:41:37,1347XXXX447,1901XXXX235,"Blocking Filter F , Suspicious Filter R",SMPP-AO,Wow!  members flirted with you at REDACTED View them! http:// REDACTED/vgVbu Reply STOP to unsubscribe
XX/XX/2015  08:34:27,1702XXXX756,1901XXXX535,Blocking Filter F,SMPP-AO,"Hi TYRONE, Do you have 2 or more outstanding payday loans? We can help you get rid of them. Call XXX-XXX-5445 This is not a loan program. Reply STOP 2Quit"
XX/XX/2015  09:48:07,1505XXXX796,1901XXXX633,Blocking Filter F,SMPP-AO,"Too many cash advances? End Fees & Interest now, get 75% back each month! Stop auto-drafts & keep YOUR MONEY. Call XXXXXXX302 Reply End 4 removal"
XX/XX/2015  10:51:33,1347XXXX885,1901XXXX116,"Blocking Filter F , Suspicious Filter R",SMPP-AO,Wow!  members flirted with you at REDACTED View them! http:// REDACTED/32ZCP Reply STOP to unsubscribe
XX/XX/2015  10:19:07,1626XXXX323,1901XXXX577,Blocking Filter F,SMPP-AO,Do you have 2 or more outstanding cash advances? We can help get rid of them. Call XXXXXXXXXX This is not a loan program or Reply End
XX/XX/2015  10:22:24,1347XXXX361,1901XXXX834,Suspicious Filter R,SMPP-AO,Local  girls  found:  view their photos: http:// REDACTED/SZX6g Reply STOP to unsubscribe
XX/XX/2015  09:55:08,1954XXXX467,1901XXXX782,Blocking Filter F,SMPP-AO,"Too many cash advances? End Fees & Interest now, get 75% back each month! Stop auto-drafts & keep YOUR MONEY. Call XXXXX49687 Reply NO to end"
XX/XX/2015  09:41:46,1702XXXX405,1901XXXX874,Blocking Filter F,SMPP-AO,Feature Film Starring Johnny Depp is casting Main Characters & extras! Call  REDACTED ASAP! Pays up to $842/day! REDACTED-Reply STOP to opt out
XX/XX/2015  10:07:11,1813XXXX946,1901XXXX876,Blocking Filter U,SMPP-AO,Re: past due acct. contact us to avoid further action including wage assignment.  protect your paycheck. www.REDACTED.net XXX-XXX-9573
XX/XX/2015  10:48:01,1347XXXX937,1903XXXX367,"Blocking Filter F , Suspicious Filter R",SMPP-AO,Wow!  members flirted with you at REDACTED View them! http:// REDACTED/Bi6aH Reply STOP to unsubscribe
XX/XX/2015  10:47:33,1347XXXX992,1903XXXX349,"Blocking Filter F , Suspicious Filter R",SMPP-AO,Wow!  members flirted with you at REDACTED View them! http:// REDACTED/y362h Reply STOP to unsubscribe
XX/XX/2015  10:27:45,1347XXXX299,1903XXXX956,"Blocking Filter F , Suspicious Filter R",SMPP-AO,Wow!  members flirted with you at XXXX View them! http:// REDACTED/wmi1U Reply STOP to unsubscribe
XX/XX/2015  08:52:07,1203XXXX594,1903XXXX005,Blocking Filter F,SMPP-AO,"Too many cash advances? End Fees & Interest now, get 75% back each month! Stop auto-drafts & keep YOUR MONEY. Call XXXXXXX302 or Reply End"
XX/XX/2015  08:56:08,1443XXXX834,1904XXXX176,Blocking Filter F,SMPP-AO,"Too many cash advances? End Fees & Interest now, get 75% back each month! Stop auto-drafts & keep YOUR MONEY. Call XXXXXXX302 Reply STOP 4 DNC"
XX/XX/2015  10:48:41,1702XXXX426,1904XXXX738,Blocking Filter F,SMPP-AO,MAJOR Movie with Johnny Depp - Call XXX-XXX-XXXX ASAP! Lots of extras needed!! REDACTED-Reply STOP to opt out
XX/XX/2015  10:22:41,1760XXXX607,1904XXXX256,"Blocking Filter F , Blocking Filter U",SMPP-AO,You were picked to test the Iphone 6 before its released and keep it. Enter your info at www.sendREDACTED.com to get it now
XX/XX/2015  10:50:09,1203XXXX575,1904XXXX481,Blocking Filter F,SMPP-AO,Do you have 2 or more outstanding cash advances? We can help get rid of them. Call XXXXXXXXXX This is not a loan program Reply Quit 4 removal
XX/XX/2015  10:39:30,1347XXXX246,1904XXXX749,"Blocking Filter F , Suspicious Filter R",SMPP-AO,Wow!  members flirted with you at REDACTED View them! http:// REDACTED/XsgJP Reply STOP to unsubscribe
XX/XX/2015  09:27:11,1302XXXX595,1904XXXX305,Blocking Filter F,SMPP-AO,Do you have 2 or more outstanding cash advances? We can help get rid of them. Call XXXXXXXXXX This is not a loan program Reply STOP 4 DNC
XX/XX/2015  10:44:22,1774XXXX851,1904XXXX516,Blocking Filter U,SMPP-AO,You were chosen to test the Galaxy S4 before it comes out and keep it. Go to www.sendREDACTED.com to get it now
XX/XX/2015  09:21:06,1302XXXX101,1904XXXX595,Blocking Filter F,SMPP-AO,"Too many cash advances? End Fees & Interest now, get 75% back each month! Stop auto-drafts & keep YOUR MONEY. Call XXXXX49687 Reply STOP2end"
XX/XX/2015  10:41:41,1347XXXX738,1904XXXX159,"Blocking Filter F , Suspicious Filter R",SMPP-AO,Wow!  members flirted with you at REDACTED View them! http:// REDACTED/9c7bR Reply STOP to unsubscribe
XX/XX/2015  08:55:31,1612XXXX879,1904XXXX832,"Blocking Filter F , Blocking Filter U",SMPP-AO,Short on cash? We got you covered! Get approved for CASH in 10 min.100% Secure Bad credit -OK! Grab your CASH NOW! www. REDACTED/cash to opt out reply stop
